point_id,x,y,freq_hz,field_db,noise_db,device_id,calib_version
P01,8.0,10.0,100,-4.7,-37.6,FSM-01,CAL-2026A
P01,8.0,10.0,500,-6.0,-37.3,FSM-01,CAL-2026A
P01,8.0,10.0,1000,-5.8,-37.3,FSM-01,CAL-2026A
P01,8.0,10.0,2000,-6.2,-38.4,FSM-01,CAL-2026A
P01,8.0,10.0,4000,-6.9,-37.5,FSM-01,CAL-2026A
P01,8.0,10.0,5000,-6.8,-38.9,FSM-01,CAL-2026A
P03,18.0,10.0,100,-4.8,-37.7,FSM-01,CAL-2026A
P03,18.0,10.0,500,-5.6,-37.0,FSM-01,CAL-2026A
P03,18.0,10.0,1000,-5.8,-38.1,FSM-01,CAL-2026A
P03,18.0,10.0,2000,-6.3,-37.7,FSM-01,CAL-2026A
P03,18.0,10.0,4000,-6.7,-38.1,FSM-01,CAL-2026A
P03,18.0,10.0,5000,-6.8,-37.2,FSM-01,CAL-2026A
P05,28.0,10.0,100,-4.8,-37.4,FSM-01,CAL-2026A
P05,28.0,10.0,500,-6.1,-38.3,FSM-01,CAL-2026A
P05,28.0,10.0,1000,-6.2,-37.9,FSM-01,CAL-2026A
P05,28.0,10.0,2000,-5.9,-37.4,FSM-01,CAL-2026A
P05,28.0,10.0,4000,-7.2,-38.8,FSM-01,CAL-2026A
P05,28.0,10.0,5000,-6.6,-37.8,FSM-01,CAL-2026A
P07,38.0,10.0,100,-4.8,-37.2,FSM-01,CAL-2026A
P07,38.0,10.0,500,-6.4,-38.1,FSM-01,CAL-2026A
P07,38.0,10.0,1000,-6.3,-38.5,FSM-01,CAL-2026A
P07,38.0,10.0,2000,-6.5,-37.4,FSM-01,CAL-2026A
P07,38.0,10.0,4000,-6.8,-37.6,FSM-01,CAL-2026A
P07,38.0,10.0,5000,-7.4,-38.1,FSM-01,CAL-2026A
P09,48.0,10.0,100,-4.6,-37.8,FSM-01,CAL-2026A
P09,48.0,10.0,500,-5.9,-38.2,FSM-01,CAL-2026A
P09,48.0,10.0,1000,-6.2,-37.3,FSM-01,CAL-2026A
P09,48.0,10.0,2000,-6.2,-38.2,FSM-01,CAL-2026A
P09,48.0,10.0,4000,-7.0,-38.5,FSM-01,CAL-2026A
P09,48.0,10.0,5000,-6.9,-37.9,FSM-01,CAL-2026A
P11,8.0,14.0,100,-4.9,-38.4,FSM-01,CAL-2026A
P11,8.0,14.0,500,-6.4,-37.7,FSM-01,CAL-2026A
P11,8.0,14.0,1000,-7.0,-37.9,FSM-01,CAL-2026A
P11,8.0,14.0,2000,-6.7,-37.5,FSM-01,CAL-2026A
P11,8.0,14.0,4000,-8.2,-37.8,FSM-01,CAL-2026A
P11,8.0,14.0,5000,-7.8,-37.2,FSM-01,CAL-2026A
P13,18.0,14.0,100,-4.3,-37.4,FSM-01,CAL-2026A
P13,18.0,14.0,500,-5.5,-38.3,FSM-01,CAL-2026A
P13,18.0,14.0,1000,-5.5,-37.8,FSM-01,CAL-2026A
P13,18.0,14.0,2000,-5.5,-37.6,FSM-01,CAL-2026A
P13,18.0,14.0,4000,-6.5,-37.3,FSM-01,CAL-2026A
P13,18.0,14.0,5000,-6.5,-37.2,FSM-01,CAL-2026A
P15,28.0,14.0,100,-3.9,-38.4,FSM-01,CAL-2026A
P15,28.0,14.0,500,-5.5,-37.8,FSM-01,CAL-2026A
P15,28.0,14.0,1000,-5.3,-38.8,FSM-01,CAL-2026A
P15,28.0,14.0,2000,-5.6,-37.5,FSM-01,CAL-2026A
P15,28.0,14.0,4000,-6.7,-38.7,FSM-01,CAL-2026A
P15,28.0,14.0,5000,-6.4,-37.1,FSM-01,CAL-2026A
P17,38.0,14.0,100,-5.3,-37.2,FSM-01,CAL-2026A
P17,38.0,14.0,500,-6.5,-38.5,FSM-01,CAL-2026A
P17,38.0,14.0,1000,-6.5,-38.0,FSM-01,CAL-2026A
P17,38.0,14.0,2000,-6.6,-37.5,FSM-01,CAL-2026A
P17,38.0,14.0,4000,-7.9,-38.8,FSM-01,CAL-2026A
P17,38.0,14.0,5000,-7.4,-38.7,FSM-01,CAL-2026A
P19,48.0,14.0,100,-4.0,-37.3,FSM-01,CAL-2026A
P19,48.0,14.0,500,-5.7,-37.0,FSM-01,CAL-2026A
P19,48.0,14.0,1000,-5.5,-37.4,FSM-01,CAL-2026A
P19,48.0,14.0,2000,-6.0,-37.4,FSM-01,CAL-2026A
P19,48.0,14.0,4000,-7.2,-37.9,FSM-01,CAL-2026A
P19,48.0,14.0,5000,-6.9,-37.7,FSM-01,CAL-2026A
P21,8.0,18.0,100,-5.5,-37.8,FSM-01,CAL-2026A
P21,8.0,18.0,500,-6.9,-37.1,FSM-01,CAL-2026A
